dates, values
27-Jun-07,1
08-Jul-07,2
11-Jul-07,1
21-Jul-07,2
24-Jul-07,1
26-Jul-07,1
28-Jul-07,1
31-Jul-07,1
07-Aug-07,1
09-Aug-07,1
12-Aug-07,1
13-Aug-07,1
15-Aug-07,1
16-Aug-07,1
22-Aug-07,1
25-Aug-07,1
28-Aug-07,1
01-Sep-07,1
07-Sep-07,1
12-Sep-07,1
16-Sep-07,1
19-Sep-07,2
21-Sep-07,1
25-Sep-07,1
27-Sep-07,1
29-Sep-07,1
01-Oct-07,305
02-Oct-07,327
03-Oct-07,316
04-Oct-07,306
05-Oct-07,312
06-Oct-07,288
07-Oct-07,322
08-Oct-07,328
09-Oct-07,343
10-Oct-07,263
11-Oct-07,293
12-Oct-07,293
13-Oct-07,320
14-Oct-07,312
15-Oct-07,322
16-Oct-07,339
17-Oct-07,292
18-Oct-07,293
19-Oct-07,313
20-Oct-07,304
21-Oct-07,299
22-Oct-07,343
23-Oct-07,307
24-Oct-07,314
25-Oct-07,303
26-Oct-07,272
27-Oct-07,267
28-Oct-07,259
29-Oct-07,328
30-Oct-07,314
31-Oct-07,265
01-Nov-07,272
02-Nov-07,281
03-Nov-07,272
04-Nov-07,297
05-Nov-07,331
06-Nov-07,330
07-Nov-07,275
08-Nov-07,274
09-Nov-07,258
10-Nov-07,302
11-Nov-07,298
12-Nov-07,306
13-Nov-07,317
14-Nov-07,282
15-Nov-07,307
16-Nov-07,311
17-Nov-07,288
18-Nov-07,274
19-Nov-07,333
20-Nov-07,299
21-Nov-07,305
22-Nov-07,230
23-Nov-07,310
24-Nov-07,323
25-Nov-07,266
26-Nov-07,324
27-Nov-07,311
28-Nov-07,292
29-Nov-07,299
30-Nov-07,298
01-Dec-07,242
02-Dec-07,270
03-Dec-07,269
04-Dec-07,291
05-Dec-07,308
06-Dec-07,302
07-Dec-07,318
08-Dec-07,286
09-Dec-07,269
10-Dec-07,344
11-Dec-07,318
12-Dec-07,287
13-Dec-07,250
14-Dec-07,294
15-Dec-07,269
16-Dec-07,246
17-Dec-07,285
18-Dec-07,295
19-Dec-07,289
20-Dec-07,275
21-Dec-07,266
22-Dec-07,287
23-Dec-07,278
24-Dec-07,277
25-Dec-07,273
26-Dec-07,353
27-Dec-07,318
28-Dec-07,336
29-Dec-07,314
30-Dec-07,308
31-Dec-07,306
01-Jan-08,327
02-Jan-08,328
03-Jan-08,295
04-Jan-08,285
05-Jan-08,290
06-Jan-08,326
07-Jan-08,336
08-Jan-08,313
09-Jan-08,357
10-Jan-08,280
11-Jan-08,301
12-Jan-08,280
13-Jan-08,287
14-Jan-08,277
15-Jan-08,334
16-Jan-08,349
17-Jan-08,300
18-Jan-08,278
19-Jan-08,317
20-Jan-08,314
21-Jan-08,328
22-Jan-08,314
23-Jan-08,306
24-Jan-08,315
25-Jan-08,314
26-Jan-08,288
27-Jan-08,300
28-Jan-08,341
29-Jan-08,319
30-Jan-08,313
31-Jan-08,269
01-Feb-08,287
02-Feb-08,348
03-Feb-08,323
04-Feb-08,330
05-Feb-08,317
06-Feb-08,310
07-Feb-08,330
08-Feb-08,332
09-Feb-08,329
10-Feb-08,316
11-Feb-08,331
12-Feb-08,315
13-Feb-08,280
14-Feb-08,293
15-Feb-08,330
16-Feb-08,284
17-Feb-08,331
18-Feb-08,352
19-Feb-08,338
20-Feb-08,314
21-Feb-08,301
22-Feb-08,283
23-Feb-08,324
24-Feb-08,326
25-Feb-08,331
26-Feb-08,346
27-Feb-08,310
28-Feb-08,296
29-Feb-08,264
01-Mar-08,285
02-Mar-08,305
03-Mar-08,321
04-Mar-08,288
05-Mar-08,286
06-Mar-08,299
07-Mar-08,303
08-Mar-08,275
09-Mar-08,288
10-Mar-08,308
11-Mar-08,334
12-Mar-08,294
13-Mar-08,288
14-Mar-08,305
15-Mar-08,283
16-Mar-08,270
17-Mar-08,339
18-Mar-08,308
19-Mar-08,295
20-Mar-08,302
21-Mar-08,270
22-Mar-08,264
23-Mar-08,292
24-Mar-08,329
25-Mar-08,286
26-Mar-08,312
27-Mar-08,300
28-Mar-08,270
29-Mar-08,287
30-Mar-08,282
31-Mar-08,304
01-Apr-08,309
02-Apr-08,279
03-Apr-08,295
04-Apr-08,276
05-Apr-08,276
06-Apr-08,283
07-Apr-08,315
08-Apr-08,307
09-Apr-08,281
10-Apr-08,286
11-Apr-08,292
12-Apr-08,313
13-Apr-08,280
14-Apr-08,323
15-Apr-08,306
16-Apr-08,309
17-Apr-08,281
18-Apr-08,309
19-Apr-08,272
20-Apr-08,312
21-Apr-08,294
22-Apr-08,297
23-Apr-08,316
24-Apr-08,315
25-Apr-08,295
26-Apr-08,309
27-Apr-08,319
28-Apr-08,309
29-Apr-08,314
30-Apr-08,294
01-May-08,275
02-May-08,294
03-May-08,243
04-May-08,256
05-May-08,346
06-May-08,284
07-May-08,322
08-May-08,316
09-May-08,329
10-May-08,279
11-May-08,267
12-May-08,345
13-May-08,323
14-May-08,291
15-May-08,333
16-May-08,294
17-May-08,311
18-May-08,328
19-May-08,344
20-May-08,319
21-May-08,318
22-May-08,301
23-May-08,301
24-May-08,293
25-May-08,308
26-May-08,302
27-May-08,340
28-May-08,305
29-May-08,313
30-May-08,307
31-May-08,271
01-Jun-08,331
02-Jun-08,355
03-Jun-08,316
04-Jun-08,301
05-Jun-08,310
06-Jun-08,302
07-Jun-08,322
08-Jun-08,327
09-Jun-08,341
10-Jun-08,347
11-Jun-08,309
12-Jun-08,331
13-Jun-08,312
14-Jun-08,313
15-Jun-08,324
16-Jun-08,338
17-Jun-08,341
18-Jun-08,322
19-Jun-08,274
20-Jun-08,312
21-Jun-08,306
22-Jun-08,328
23-Jun-08,334
24-Jun-08,309
25-Jun-08,336
26-Jun-08,331
27-Jun-08,281
28-Jun-08,310
29-Jun-08,315
30-Jun-08,357
01-Jul-08,316
02-Jul-08,305
03-Jul-08,299
04-Jul-08,261
05-Jul-08,301
06-Jul-08,333
07-Jul-08,341
08-Jul-08,318
09-Jul-08,338
10-Jul-08,293
11-Jul-08,306
12-Jul-08,316
13-Jul-08,330
14-Jul-08,327
15-Jul-08,330
16-Jul-08,326
17-Jul-08,291
18-Jul-08,307
19-Jul-08,289
20-Jul-08,294
21-Jul-08,334
22-Jul-08,324
23-Jul-08,336
24-Jul-08,287
25-Jul-08,319
26-Jul-08,286
27-Jul-08,317
28-Jul-08,326
29-Jul-08,312
30-Jul-08,307
31-Jul-08,280
01-Aug-08,312
02-Aug-08,282
03-Aug-08,290
04-Aug-08,311
05-Aug-08,344
06-Aug-08,312
07-Aug-08,327
08-Aug-08,310
09-Aug-08,310
10-Aug-08,309
11-Aug-08,349
12-Aug-08,315
13-Aug-08,325
14-Aug-08,298
15-Aug-08,286
16-Aug-08,300
17-Aug-08,311
18-Aug-08,340
19-Aug-08,295
20-Aug-08,319
21-Aug-08,276
22-Aug-08,302
23-Aug-08,310
24-Aug-08,326
25-Aug-08,334
26-Aug-08,322
27-Aug-08,295
28-Aug-08,301
29-Aug-08,283
30-Aug-08,298
31-Aug-08,305
01-Sep-08,321
02-Sep-08,323
03-Sep-08,309
04-Sep-08,262
05-Sep-08,302
06-Sep-08,302
07-Sep-08,323
08-Sep-08,343
09-Sep-08,310
10-Sep-08,296
11-Sep-08,282
12-Sep-08,304
13-Sep-08,297
14-Sep-08,305
15-Sep-08,327
16-Sep-08,323
17-Sep-08,318
18-Sep-08,303
19-Sep-08,323
20-Sep-08,293
21-Sep-08,289
22-Sep-08,307
23-Sep-08,312
24-Sep-08,319
25-Sep-08,320
26-Sep-08,282
27-Sep-08,266
28-Sep-08,314
29-Sep-08,327
30-Sep-08,322
01-Oct-08,11
